id,original_title,adult,original_language,popularity,release_date,budget,profit (revenue-budget),runtime,status,vote_average,vote_count
12,Finding Nemo,2,en,25.497794,5/30/2003,94000000,846335536,100,Released,7.6,6292
14,American Beauty,2,en,20.726578,9/15/1999,15000000,341296601,122,Released,7.9,3438
16,Dancer in the Dark,2,en,10.684806,5/17/2000,12800000,27231879,140,Released,7.7,392
17,The Dark,2,en,5.691508,1/26/2006,0,0,87,Released,5.6,76
18,The Fifth Element,2,en,24.30526,5/7/1997,90000000,173920180,126,Released,7.3,3962
20,My Life Without Me,2,en,10.310508,3/7/2003,0,9726954,106,Released,7.2,78
22,Pirates of the Caribbean: The Curse of the Black Pearl,2,en,47.326665,7/9/2003,140000000,515011224,143,Released,7.5,7191
24,Kill Bill: Vol. 1,2,en,25.261865,10/10/2003,30000000,150949000,111,Released,7.7,5091
25,Jarhead,2,en,9.997032,11/4/2005,72000000,24889998,125,Released,6.6,776
26,LaLehet Al HaMayim,2,he,1.709996,2/5/2004,1400000,-1400000,103,Released,6.5,20
27,9 Songs,2,en,18.847707,7/16/2004,1000000,574623,66,Released,5.1,103
35,The Simpsons Movie,2,en,14.302911,7/25/2007,75000000,452068851,87,Released,6.9,2335
38,Eternal Sunshine of the Spotless Mind,2,en,12.906327,3/19/2004,20000000,52258126,108,Released,7.9,3758
55,Amores perros,2,es,5.958138,6/16/2000,2000000,18908467,154,Released,7.6,537
58,Pirates of the Caribbean: Dead Man's Chest,2,en,29.455314,6/20/2006,200000000,865659812,151,Released,7,5380
59,A History of Violence,2,en,11.119707,9/23/2005,32000000,28740827,96,Released,6.9,850
64,Hable con ella,2,es,6.648278,3/14/2002,9285469,41716081,112,Released,7.5,273
65,8 Mile,2,en,8.374355,11/8/2002,41000000,174000000,110,Released,6.8,1676
66,Absolute Power,2,en,7.66124,2/14/1997,50000000,68310,121,Released,6.4,226
67,Paradise Now,2,en,3.714186,2/14/2005,0,3357075,90,Released,6.9,63
69,Walk the Line,2,en,11.476443,9/13/2005,28000000,158438883,136,Released,7.3,732
70,Million Dollar Baby,2,en,14.471373,12/15/2004,30000000,186763646,132,Released,7.7,2519
71,Billy Elliot,2,en,12.158424,5/18/2000,5000000,105000000,110,Released,7.4,774
73,American History X,2,en,18.157166,10/30/1998,20000000,3875127,119,Released,8.2,3120
74,War of the Worlds,2,en,19.929377,6/28/2005,132000000,459739379,116,Released,6.2,2397
77,Memento,2,en,15.450789,10/11/2000,9000000,30723096,113,Released,8.1,4168
79,英雄,2,zh,9.861765,12/19/2002,31000000,146394432,99,Released,7.3,647
80,Before Sunset,2,en,7.048957,2/10/2004,2700000,13292615,80,Released,7.6,734
82,Miami Vice,2,en,11.72545,7/27/2006,135000000,28794509,134,Released,5.7,494
83,Open Water,2,en,10.652818,8/6/2004,130000,54537954,79,Released,5.3,320
86,Elementarteilchen,2,de,11.552537,2/10/2006,6000000,-6000000,105,Released,6.4,34
92,Megacities,2,en,0.406137,8/12/1998,0,0,94,Released,7,3
95,Armageddon,2,en,13.235112,7/1/1998,140000000,413799566,151,Released,6.5,2540
98,Gladiator,2,en,23.186667,5/1/2000,103000000,354640427,155,Released,7.9,5566
99,Todo sobre mi madre,2,es,10.000915,4/19/1999,8272296,59600000,101,Released,7.4,337
100,"Lock, Stock and Two Smoking Barrels",2,en,4.60786,3/5/1998,1350000,2547569,105,Released,7.5,1671
102,Elsker dig for evigt,2,da,6.818513,9/6/2002,0,0,113,Released,6.8,27
104,Lola rennt,2,de,7.765379,8/20/1998,1530000,5737585,81,Released,7.2,672
